method,mean_queue,max_queue,steady_queue
Simple_Fixed,1.9326750005880993,3.641741180419922,3.4270916913350424
Traffic_Opt,1.915207462223371,3.693797810872396,3.460622145334879
MAPPO,1.9644477193991343,3.685411580403646,3.461065348307292
