method,mean_queue,max_queue,steady_queue,spillback_rate
Simple_Fixed,1.9599063632786276,3.6980960369110103,2.7918386097749077,0.1179
Traffic_Opt,1.9004798187538985,3.610771059989929,2.7110091146826742,0.1195499999999999
MAPPO,1.945014544725418,3.6578837633132935,2.7612201466163,0.1113166666666666
